,precision,recall,f1-score,support
Pedestrians,0.7741935483870968,1.0,0.8727272727272727,48.0
Slippery Road,0.875,0.98,0.9245283018867925,50.0
Speed Limit (60),0.9777777777777777,0.88,0.9263157894736842,50.0
Stop,1.0,1.0,1.0,50.0
Wild animals Crossing,1.0,0.7,0.8235294117647058,50.0
accuracy,0.9112903225806451,0.9112903225806451,0.9112903225806451,0.9112903225806451
macro avg,0.9253942652329747,0.9119999999999999,0.9094201551704909,248.0
weighted avg,0.9266136258526997,0.9112903225806451,0.9097160655127752,248.0
