,precision,recall,f1-score,support
Pedestrians,0.9791666666666666,0.9791666666666666,0.9791666666666666,48.0
Slippery Road,1.0,0.98,0.98989898989899,50.0
Speed Limit (60),1.0,1.0,1.0,50.0
Stop,1.0,1.0,1.0,50.0
Wild animals Crossing,0.9803921568627451,1.0,0.9900990099009901,50.0
accuracy,0.9919354838709677,0.9919354838709677,0.9919354838709677,0.9919354838709677
macro avg,0.9919117647058823,0.9918333333333333,0.9918329332933293,248.0
weighted avg,0.9920145477545856,0.9919354838709677,0.9919350806048347,248.0
